book_id,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count
597,Chuck Klosterman,2005.0,Killing Yourself to Live: 85% of a True Story,Killing Yourself to Live: 85% of a True Story,en-US,3.85,0.006795082915101117
599,Chuck Klosterman,2003.0,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto","Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",en-US,3.75,0.010651184203235112
629,Robert M. Pirsig,1974.0,Zen and the Art of Motorcycle Maintenance,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,eng,3.76,0.01672390885749574
647,Naomi Klein,1999.0,No Logo,No Logo,en-US,3.86,0.0061401046435784964
656,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",1869.0,Война и миръ,War and Peace,eng,4.11,0.01836080552037025
662,"Ayn Rand, Leonard Peikoff",1957.0,Atlas Shrugged,Atlas Shrugged,eng,3.68,0.023840135836874145
665,"Ayn Rand, Nathaniel Branden",1961.0,The Virtue of Selfishness: A New Concept of Egoism,The Virtue of Selfishness: A New Concept of Egoism,eng,3.47,0.004523210243353915
667,Ayn Rand,1938.0,Anthem,Anthem,eng,3.62,0.013850442240735377
668,"Ayn Rand, Leonard Peikoff",1936.0,We the Living,We the Living,eng,3.89,0.006489882998389814
676,Billy Collins,2001.0,Sailing Alone Around the Room: New and Selected Poems,Sailing Alone Around the Room: New and Selected Poems,eng,4.24,0.004697490082393003
698,Anne Tyler,2006.0,Digging to America,Digging to America,eng,3.53,0.005573536533151339
703,Philip Roth,2004.0,The Plot Against America,The Plot Against America,eng,3.71,0.007258605097037248
706,"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",2004.0,America (The Book): A Citizen's Guide to Democracy Inaction,America (The Book): A Citizen's Guide to Democracy Inaction,eng,4.02,0.012226424401211392
760,"Gabriel García Márquez, Edith Grossman",2004.0,Memoria de mis putas tristes,Memories of My Melancholy Whores,eng,3.59,0.008202230143569607
771,Brian Greene,1999.0,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory","The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",en-US,4.06,0.008090422215579937
816,Neal Stephenson,1999.0,Cryptonomicon,Cryptonomicon,eng,4.25,0.012075515872866151
822,Neal Stephenson,2004.0,The Confusion,"The Confusion (The Baroque Cycle, #2)",en-US,4.24,0.005905091760899217
823,Neal Stephenson,2003.0,Quicksilver,"Quicksilver (The Baroque Cycle, #1)",en-US,3.92,0.0074513177843963385
825,Neal Stephenson,1988.0,Zodiac,Zodiac,eng,3.7,0.005175814409648161
827,Neal Stephenson,1995.0,The Diamond Age,"The Diamond Age: or, A Young Lady's Illustrated Primer",eng,4.19,0.011138070566840009
830,Neal Stephenson,1992.0,Snow Crash,Snow Crash,eng,4.02,0.01878456762806563
840,Donald A. Norman,1988.0,The Psychology of Everyday Things,The Design of Everyday Things,en-US,4.18,0.004873359375250399
865,"Paulo Coelho, Alan R. Clarke",1988.0,O Alquimista,The Alchemist,eng,3.82,0.05106089714375619
870,"Hiromu Arakawa, Akira Watanabe",2002.0,鋼の錬金術師 1,"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)",eng,4.49,0.013731883037972101
880,Robert   Harris,2003.0,Pompeii,Pompeii,eng,3.79,0.006753473478228164
890,John Steinbeck,1937.0,Of Mice and Men ,Of Mice and Men,eng,3.84,0.054259743189117415
900,Neil Strauss,2005.0,The Game,The Game: Penetrating the Secret Society of Pickup Artists,en-US,3.73,0.005787906399421882
902,Ellen Raskin,1978.0,The Westing Game,The Westing Game,eng,4.03,0.01532789627590934
903,Zilpha Keatley Snyder,1967.0,The Egypt Game,"The Egypt Game (Game, #1)",eng,3.81,0.007312988775417851
930,Arthur Golden,1997.0,Memoirs of a Geisha,Memoirs of a Geisha,eng,4.08,0.05107352755140364
960,Dan Brown,2000.0,Angels & Demons ,"Angels & Demons  (Robert Langdon, #1)",en-CA,3.85,0.06336458021634332
968,Dan Brown,2003.0,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",eng,3.79,0.05388225280827381
976,Dan Brown,2001.0,Deception Point,Deception Point,eng,3.67,0.030233323749845057
998,"Thomas J. Stanley, William D. Danko",1995.0,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,The Millionaire Next Door: The Surprising Secrets of Americas Wealthy,eng,4.0,0.009388678571583361
1005,Napoleon Hill,1937.0,Think and Grow Rich,Think and Grow Rich: The Landmark Bestseller - Now Revised and Updated for the 21st Century,eng,4.17,0.013245146367199822
1032,"Donald J. Trump, Tony Schwartz",1987.0,Trump: The Art of the Deal,Trump: The Art of the Deal,en-US,3.66,0.004194107342134514
1067,David McCullough,2005.0,1776,1776,eng,4.06,0.016167758474783623
1078,Pearl S. Buck,1931.0,The Good Earth,"The Good Earth (House of Earth, #1)",eng,3.97,0.019119973763232996
1097,Eric Schlosser,2001.0,Fast Food Nation : The Dark Side of the All-American Meal ,Fast Food Nation: The Dark Side of the All-American Meal,eng,3.73,0.018968645888177735
1103,Lisa See,2005.0,Snow Flower and the Secret Fan,Snow Flower and the Secret Fan,eng,4.05,0.02372118328628599
1110,John Grisham,2005.0,The Broker,The Broker,eng,3.77,0.011457004755231825
1171,Michael   Lewis,1989.0,Liar's Poker: Rising Through the Wreckage on Wall Street,Liar's Poker,en-US,4.16,0.0066909489512339704
1202,"Steven D. Levitt, Stephen J. Dubner",2005.0,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",en-US,3.93,0.03242903690185723
1232,"Carlos Ruiz Zafón, Lucia Graves",2001.0,La sombra del viento,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",eng,4.24,0.02300021964632096
1241,James Frey,2003.0,A Million Little Pieces,A Million Little Pieces,en-CA,3.62,0.01922571109730478
1274,John Gray,1998.0,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships","Men Are from Mars, Women Are from Venus",en-US,3.52,0.015117491325942083
1295,Jean M. Auel,1980.0,The Clan of the Cave Bear,"The Clan of the Cave Bear (Earth's Children, #1)",eng,4.02,0.01879412393121543
1301,Michael   Lewis,2003.0,Moneyball: The Art of Winning an Unfair Game,Moneyball: The Art of Winning an Unfair Game,en-US,4.24,0.011542315238228646
1307,"Margaret Weis, Tracy Hickman",1991.0,Fire Sea,"Fire Sea (The Death Gate Cycle, #3)",en-US,4.05,0.00543189438375174
1319,"Steven Pressfield, Robert McKee",2002.0,The War of Art: Break Through the Blocks and Win Your Inner Creative Battles,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,en-US,4.07,0.007936831846844652
1362,"Herodotus, Aubrey de Sélincourt, John M. Marincola",-440.0,Ἰστορίαι,The Histories,eng,3.97,0.007610490756014131
1371,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",-750.0,Ἰλιάς,The Iliad,eng,3.83,0.021992624943127776
1375,"Homer, Robert Fagles, Bernard Knox",-762.0,Ἰλιάς ; Ὀδύσσεια,The Iliad/The Odyssey,eng,4.03,0.009795277863900076
1381,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,Ὀδύσσεια,The Odyssey,eng,3.73,0.036671806400889975
1420,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,"The Tragicall Historie of Hamlet, Prince of Denmark",Hamlet,eng,4.0,0.0321690591609266
1426,Paulo Coelho,1997.0,Manual do guerreiro da luz,Warrior of the Light,en-US,3.69,0.006184219484842352
1427,"Paulo Coelho, Margaret Jull Costa",2005.0,O Zahir,The Zahir,eng,3.56,0.010107359959570883
1428,"Paulo Coelho, Alan R. Clarke",1994.0,Na margem do rio Piedra eu sentei e chorei,By the River Piedra I Sat Down and Wept,eng,3.57,0.01116236065241495
1430,"Paulo Coelho, Margaret Jull Costa",2003.0,Onze minutos,Eleven Minutes,eng,3.69,0.014319487238072286
1431,"Paulo Coelho, Margaret Jull Costa",1998.0,Veronika decide morrer,Veronika Decides to Die,eng,3.69,0.014980244895930864
1519,"Aeschylus, Robert Fagles, William Bedell Stanford",-458.0,Ὀρέστεια,"The Oresteia  (Ορέστεια, #1-3)",eng,3.99,0.007023456113777444
1524,"Aeschylus, Judith Affleck, Philip de May, Patricia E. Easterling, John     Harrison",-458.0,Ἀγαμέμνων,"Agamemnon (Oresteia, #1)",eng,3.82,0.004806414730448078
1554,"Sophocles, J.E. Thomas",-430.0,Οἰδίπους Τύραννος,"Oedipus Rex  (The Theban Plays, #1)",eng,3.67,0.01548338649817263
1591,"Aristophanes, Sarah Ruden",-411.0,Λυσιστράτη,Lysistrata,eng,3.84,0.007188616911971135
1617,"Elie Wiesel, Marion Wiesel",1958.0,Un di Velt Hot Geshvign,Night (The Night Trilogy #1),eng,4.3,0.03723924559470634
1618,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time,eng,3.85,0.04171932554569951
1622,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595.0,A Midsummer Night's Dream,A Midsummer Night's Dream,eng,3.94,0.025895191784795556
1624,Beryl Markham,1942.0,West with the Night,West with the Night,en-US,4.18,0.006292755286310459
1625,William Shakespeare,1601.0,"Twelfth Night; or, What You Will",Twelfth Night,eng,3.97,0.015490576098540413
1627,Annie Proulx,1997.0,Brokeback Mountain,Brokeback Mountain,en-US,3.93,0.006313920837708805
1633,David    Allen,2001.0,Getting Things Done: How To Achieve Stress-free Productivity,Getting Things Done: The Art of Stress-Free Productivity,en-GB,3.98,0.012320739890302196
1715,"Ovid, David Raeburn, Denis Feeney",8.0,Metamorphoses,Metamorphoses,eng,4.03,0.009243641439765351
1823,Jon Ronson,2001.0,Them: Adventures with Extremists,Them: Adventures with Extremists,en-US,3.94,0.004268311520643854
1824,Jon Ronson,2004.0,The Men Who Stare at Goats,The Men Who Stare at Goats,en-US,3.58,0.004067097659376793
1842,Jared Diamond,1997.0,"Guns, Germs, and Steel: The Fates of Human Societies","Guns, Germs, and Steel: The Fates of Human Societies",eng,4.0,0.01855217183380188
1845,Jon Krakauer,1996.0,Into the Wild,Into the Wild,eng,3.94,0.03604714347791403
1848,Jung Chang,1991.0,Wild Swans: Three Daughters of China,Wild Swans: Three Daughters of China,en-US,4.23,0.010989103539294779
1849,Nelson DeMille,2006.0,Wild Fire,"Wild Fire (John Corey, #4)",en-US,3.99,0.006096986894439846
1852,Jack London,1903.0,The Call of the Wild,The Call of the Wild,eng,3.83,0.021195679811461764
1869,Barbara Ehrenreich,2001.0,Nickel and Dimed: On (Not) Getting By in America,Nickel and Dimed: On (Not) Getting By in America,eng,3.6,0.017507778817301017
1875,"Michel Foucault, Robert Hurley",1976.0,Histoire de la sexualité 1. La Volonté de savoir,"The History of Sexuality, Volume 1: An Introduction",eng,4.03,0.005020772200935676
1885,Jane Austen,1813.0,Pride and Prejudice,Pride and Prejudice,eng,4.24,0.06390336937267158
1898,Jon Krakauer,1997.0,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Into Thin Air: A Personal Account of the Mount Everest Disaster,en-US,4.11,0.024172869214671548
1911,Thomas L. Friedman,2005.0,The World Is Flat: A Brief History of the Twenty-first Century,The World Is Flat: A Brief History of the Twenty-first Century,en-US,3.66,0.012531114898414008
1934,Louisa May Alcott,1868.0,Little Women,"Little Women (Little Women, #1)",en-US,4.04,0.050220127558071745
1953,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,A Tale of Two Cities,A Tale of Two Cities,eng,3.81,0.03576015466600343
1990,"Charles Dickens, Patricia Ingham, Hablot Knight Browne",1844.0,The Life and Adventures of Martin Chuzzlewit,Martin Chuzzlewit,eng,3.82,0.004862231558020062
2049,Raymond Chandler,1942.0,The High Window,"The High Window (Philip Marlowe, #3)",eng,4.08,0.004714755231078571
2050,Raymond Chandler,1940.0,"Farewell, My Lovely","Farewell, My Lovely (Philip Marlowe, #2)",eng,4.17,0.006622989708353787
2052,Raymond Chandler,1939.0,The Big Sleep,"The Big Sleep (Philip Marlowe, #1)",eng,4.04,0.01301935160283479
2054,Raymond Chandler,1953.0,The Long Goodbye,"The Long Goodbye (Philip Marlowe, #6)",eng,4.23,0.006719074877983931
2067,Daniel C. Dennett,2006.0,Breaking the Spell: Religion as a Natural Phenomenon,Breaking the Spell: Religion as a Natural Phenomenon,en-US,3.89,0.004100503540076622
2068,Daniel C. Dennett,1995.0,Darwin's Dangerous Idea: Evolution and the Meanings of Life,Darwin's Dangerous Idea: Evolution and the Meanings of Life,en-US,4.03,0.004716882348367515
2094,"Stephen Hawking, Leonard Mlodinow",2005.0,A Briefer History of Time,A Briefer History of Time,eng,4.19,0.006308675858448515
2095,Stephen Hawking,2001.0,The Universe in a Nutshell,The Universe in a Nutshell,en-US,4.13,0.006880317260549517
2122,"Ayn Rand, Leonard Peikoff",1943.0,The Fountainhead,The Fountainhead,eng,3.85,0.022149741628453505
2137,Michael Cunningham,1990.0,A Home at the End of the World,A Home at the End of the World,en-US,3.89,0.005151531550048291
2152,Karen Joy Fowler,2004.0,The Jane Austen Book Club,The Jane Austen Book Club,en-US,3.07,0.010324071520030786
2156,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817.0,Persuasion,Persuasion,eng,4.13,0.027076242724023356
2159,John Perkins,2004.0,Confessions of an Economic Hit Man,Confessions of an Economic Hit Man,en-US,3.83,0.006290842110096094
2165,Ernest Hemingway,1952.0,The Old Man and the Sea,The Old Man and the Sea,eng,3.73,0.03231869869271552
2175,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",1856.0,Madame Bovary,Madame Bovary,eng,3.64,0.017853352759206523
2183,"Gustave Flaubert, Robert Baldick, Geoffrey Wall",1869.0,L'Éducation sentimentale,Sentimental Education,eng,3.83,0.004832847244939418
2187,Jeffrey Eugenides,2002.0,Middlesex,Middlesex,en-US,3.98,0.03129732960060403
2199,"Doris Kearns Goodwin, Suzanne Toren",2005.0,Team of Rivals: The Political Genius of Abraham Lincoln,Team of Rivals: The Political Genius of Abraham Lincoln,eng,4.3,0.01436962680292374
2203,David McCullough,2001.0,John Adams,John Adams,eng,4.05,0.020806300434078415
2255,Dan Millman,1980.0,Way of the Peaceful Warrior: A Book That Changes Lives,Way of the Peaceful Warrior: A Book That Changes Lives,en-US,4.13,0.00827552558629667
2265,"Lance Armstrong, Sally Jenkins",1999.0,It's Not About the Bike: My Journey Back to Life,It's Not About the Bike: My Journey Back to Life,en-US,3.72,0.008007796688783682
2279,David McCullough,1992.0,Truman,Truman,en-US,4.15,0.010320184298416267
2368,David McCullough,1981.0,Mornings on Horseback,Mornings on Horseback,en-US,4.1,0.0060626690033613794
2371,David McCullough,1968.0,The Johnstown Flood,The Johnstown Flood,eng,4.11,0.004843007048288711
2372,David McCullough,1977.0,"The Path Between the Seas: The Creation of the Panama Canal, 1870-1914","The Path Between the Seas: The Creation of the Panama Canal, 1870-1914",eng,4.19,0.004330837122319789
2373,Jeffery Deaver,1997.0,The Bone Collector,"The Bone Collector (Lincoln Rhyme, #1)",en-US,4.18,0.015550940720250192
2430,Steve Martini,1997.0,The List,The List,eng,3.95,0.004844042564785458
2442,Terry Pratchett,1991.0,Witches Abroad,"Witches Abroad (Discworld, #12; Witches #3)",eng,4.2,0.009800396901544462
2493,"H.G. Wells, Greg Bear, Carlo Pagetti",1895.0,The Time Machine,The Time Machine,eng,3.87,0.023534425317051254
2517,"Orhan Pamuk, Erdağ M. Göknar",1998.0,Benim Adım Kırmızı,My Name is Red,eng,3.83,0.007402559782077209
2526,"José Saramago, Giovanni Pontiero",1995.0,Ensaio Sobre a Cegueira,Blindness,en-US,4.08,0.014074450043389294
2528,"José Saramago, Margaret Jull Costa",1997.0,Todos os Nomes,All the Names,en-US,3.88,0.004370264727575421
2530,"José Saramago, Giovanni Pontiero",1982.0,Memorial do Convento,Baltasar and Blimunda,eng,3.9,0.003267276584335167
2547,Kahlil Gibran,1923.0,The Prophet,The Prophet,eng,4.22,0.01691653681657541
2612,Malcolm Gladwell,2000.0,The Tipping Point: How Little Things Can Make a Big Difference,The Tipping Point: How Little Things Can Make a Big Difference,eng,3.92,0.0313697131546298
2623,Charles Dickens,1860.0,Great Expectations,Great Expectations,eng,3.75,0.03035375572922656
2657,Harper Lee,1960.0,To Kill a Mockingbird,To Kill a Mockingbird,eng,4.25,0.08010766210767446
2666,Tom Wolfe,1987.0,The Bonfire of the Vanities,The Bonfire of the Vanities,eng,3.81,0.010219971736708343
2677,Jonathan Swift,1729.0,A Modest Proposal and Other Satirical Works,A Modest Proposal and Other Satirical Works,eng,4.04,0.005007568569467998
2696,"Geoffrey Chaucer, Nevill Coghill",1390.0,Tales of Caunterbury,The Canterbury Tales,eng,3.48,0.017259302884875028
2715,Mark Kurlansky,2002.0,Salt: A World History,Salt: A World History,eng,3.73,0.008890954836884795
2744,Neil Gaiman,2005.0,Anansi Boys,Anansi Boys,eng,4.0,0.016617283344383817
2748,Douglas Coupland,1995.0,Microserfs,Microserfs,en-US,3.88,0.006257266836857307
2767,Howard Zinn,1980.0,A People's History of the United States: 1492 to Present ,A People's History of the United States,eng,4.07,0.016601157942284315
2784,John Berger,1972.0,Ways of Seeing,Ways of Seeing,eng,3.75,0.017671564242342397
2794,Thomas Pynchon,1966.0,The Crying of Lot 49,The Crying of Lot 49,en-US,3.7,0.009883666380214096
2839,Katherine Paterson,1977.0,Bridge to Terabithia,Bridge to Terabithia,eng,3.98,0.026026681002635905
2865,Tracy Chevalier,1999.0,Girl with a Pearl Earring,Girl with a Pearl Earring,eng,3.85,0.030627802711507203
2872,Tracy Chevalier,2001.0,Falling Angels,Falling Angels,eng,3.55,0.006086448152664919
2873,Tracy Chevalier,1997.0,The Virgin Blue,The Virgin Blue,eng,3.65,0.006863968893650582
2879,Tite Kubo,2004.0,Bleach―ブリーチ― 15,"Bleach, Volume 15",eng,4.41,0.005853394234466333
2880,Tite Kubo,2002.0,BLEACH―ブリーチ―　1,"Bleach, Volume 01",eng,4.21,0.015516262990140233
2932,"Daniel Defoe, Gerald McCann, Virginia Woolf",1719.0,"The Life and Strange Surprising Adventures of Robinson Crusoe of York, Mariner",Robinson Crusoe,eng,3.66,0.01890725569524717
2956,"Mark Twain, John Seelye, Guy Cardwell",1884.0,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,eng,3.8,0.04374298016317789
2998,Frances Hodgson Burnett,1911.0,The Secret Garden,The Secret Garden,eng,4.12,0.03581467240547753
3008,"Frances Hodgson Burnett, Nancy Bond",1905.0,A Little Princess,A Little Princess,eng,4.2,0.02002466456682777
3061,"Kimon Nicolaides, Mamie Harmon",1941.0,The Natural Way to Draw,The Natural Way to Draw,en-US,3.88,0.007870963830331859
3087,E.M. Forster,1908.0,A Room with a View,A Room with a View,eng,3.91,0.014855038055203681
3102,E.M. Forster,1910.0,Howards End,Howards End,eng,3.95,0.010214473749670657
3103,E.M. Forster,1971.0,Maurice,Maurice,eng,4.02,0.005718687889187934
3109,Michael Pollan,2006.0,The Omnivore's Dilemma,The Omnivore's Dilemma: A Natural History of Four Meals,eng,4.17,0.016351481188804754
3110,Sarah Vowell,2005.0,Assassination Vacation,Assassination Vacation,en-US,3.98,0.008034434183887901
3273,Alan Brennert,2003.0,Moloka'i,Moloka'i,en-US,4.15,0.012291558270107866
3291,Isabel Allende,1988.0,Cuentos de Eva Luna,The Stories of Eva Luna,en-US,3.96,0.0046681432007782365
3300,"Isabel Allende, Margaret Sayers Peden",2006.0,Inés del alma mía,Inés of My Soul,en-US,3.9,0.005211737878211614
3304,"Isabel Allende, Margaret Sayers Peden",2002.0,La ciudad de las bestias,"City of the Beasts (Eagle and Jaguar, #1)",eng,3.69,0.005575875746960151
